,Address,Category,Latitude,Longitude,Name,Neighborhood
14,,Food & Drink Shop,40.41974627119504,-3.7055811323225574,La Máquina,Palacio
15,Plaza Conde de Toreno 2,Food & Drink Shop,40.420616149902344,-3.7075400352478027,Suma,Palacio
16,"C. Postigo de San Martín, 3",Food & Drink Shop,40.41899126067884,-3.7063465931809505,Mariano Madrueño,Palacio
17,,Food & Drink Shop,40.420467,-3.7087743,Día & Go,Palacio
18,,Food & Drink Shop,40.41575835080766,-3.7066092344454167,Charcuteria Bartolomé,Palacio
19,"C. Preciados, 3",Food & Drink Shop,40.41749665225322,-3.704686028127798,Club del Gourmet Corte Ingles,Palacio
20,C. Leganitos,Food & Drink Shop,40.42216001826838,-3.710408600154652,Supermercado Chino,Palacio
21,"C/ Toledo, 34",Food & Drink Shop,40.413079440555286,-3.707558512687683,Frutos Secos Hnos. Ortiz Variantes,Palacio
22,Leganitos 33,Food & Drink Shop,40.422234,-3.710282,Hua Lian,Palacio
23,Bordadores 1,Food & Drink Shop,40.41617918451369,-3.7078927273906612,Carnicería Los Andes,Palacio
24,,Food & Drink Shop,40.415246,-3.709002,Beer House Mercado,Palacio
25,"Calle San Felipe Neri, 2",Food & Drink Shop,40.41628930656813,-3.708088517205397,LA CAJA DE VINOS,Palacio
26,,Food & Drink Shop,40.42072351471456,-3.7095330688202033,Supermercado Santo Domingo,Palacio
27,"Fomento, 37",Food & Drink Shop,40.422379,-3.711236,Churrería Félix García,Palacio
28,"C/ Cuchilleros, 14",Food & Drink Shop,40.413674619999995,-3.7091003666666666,Alimentación y frutos secos,Palacio
29,,Food & Drink Shop,40.420457,-3.715149,Supermercado Rocha,Palacio
30,,Food & Drink Shop,40.415303,-3.709291,eltxoko gourmet,Palacio
31,Cuchilleros,Food & Drink Shop,40.41392517089844,-3.708246946334839,España En Lata,Palacio
32,,Food & Drink Shop,40.42067641165328,-3.714469280722194,Mundolicor,Palacio
33,Calle Imperial,Food & Drink Shop,40.41382164125108,-3.706519245406063,Carrefour Express,Palacio
34,Mercado de San Miguel,Food & Drink Shop,40.41543910657383,-3.7090459874334214,Hamburguesa Nostra,Palacio
35,"Callejón de Preciados, 3",Food & Drink Shop,40.41752740837107,-3.704661757096611,Nespresso Club del Gourmet,Palacio
36,Calle Mayor 88,Food & Drink Shop,40.41513265500589,-3.7133581694444984,Tienda La Rebelión de los Mandiles,Palacio
37,Duque de Rivas 8,Food & Drink Shop,40.413246,-3.706476,Madrid & Darracott,Palacio
38,Cuchilleros 14,Food & Drink Shop,40.414784,-3.708236,El Chino de Cuchilleros,Palacio
39,,Food & Drink Shop,40.41704396553202,-3.708046352278456,Gourmet Spanish House,Palacio
40,"Plaza De La Marina Española, 4",Food & Drink Shop,40.420621974754084,-3.7122390049298493,Casa Tequilera Azteca,Palacio
41,Plaza de San Miguel 4,Food & Drink Shop,40.414884,-3.708266,Gama,Palacio
42,Ronda de Segovia 36,Food & Drink Shop,40.41391576666667,-3.7119532000000004,Alimentación zulie,Palacio
43,"Calle Latoneros, 6",Food & Drink Shop,40.41373656534804,-3.707813437308349,Flor Maia,Palacio
44,,Food & Drink Shop,40.41568,-3.7097,Los Ferreros,Palacio
45,"Pl. Callao, 2, 9º",Food & Drink Shop,40.41966660972929,-3.7054582485281027,Gourmet Experience,Palacio
46,"Calle Mayor, 51",Food & Drink Shop,40.41574529301705,-3.708561742403395,SuperSano,Palacio
47,Toledo 70,Food & Drink Shop,40.413114,-3.7075111450085414,Maxi DIA %,Palacio
0,Calle De La Union 7,Clothing Store,40.417564,-3.710588,Madrid T-Shirt,Palacio
1,C. Preciados,Clothing Store,40.415181546735326,-3.7097164335505517,Geox,Palacio
2,"Calle de Arenal, 14",Clothing Store,40.417434,-3.706324,Toni Pons,Palacio
3,Arenal 21,Clothing Store,40.41776,-3.7087612,Citees,Palacio
4,,Clothing Store,40.417244,-3.706305,Witukaw,Palacio
5,9 Calle de Preciados,Clothing Store,40.41823222124022,-3.704878306990603,Pull&Bear,Palacio
6,Calle Arenal,Clothing Store,40.417094,-3.706271,Happy Socks,Palacio
7,Calle Mayor 28,Clothing Store,40.416121,-3.707373,La hija de Caín,Palacio
8,C/ Preciados 25,Clothing Store,40.41967654806793,-3.705589146002764,Desigual Preciados,Palacio
9,Calle Sol 10,Clothing Store,40.4170629,-3.7042734,adidas Store,Palacio
10,Calle Arenal 28,Clothing Store,40.417675906276784,-3.708487406965496,Amichi,Palacio
11,plaza mayor 30,Clothing Store,40.415625563708595,-3.7070106322176155,casa yustas,Palacio
12,"Pl. del Callao, 2",Clothing Store,40.41965416266817,-3.705501694920485,Boutique Nespresso,Palacio
13,"C. Arenal, 3",Clothing Store,40.416972194176466,-3.705221711103812,Pronovias,Palacio
14,"C. Preciados, 17",Clothing Store,40.41765360767839,-3.704294264316559,Foot Locker,Palacio
15,"Calle de Bordadores, 6",Clothing Store,40.41671222,-3.7074348099999996,Soda,Palacio
16,"c/ Gran Vía, 54.",Clothing Store,40.421212183536554,-3.7074615890659923,Camper,Palacio
17,Preciados 20,Clothing Store,40.418490751104365,-3.7048710727493295,Bershka,Palacio
18,,Clothing Store,40.417362,-3.7066314,Sketchers,Palacio
19,,Clothing Store,40.414837,-3.705915,Moda Gloria Diseno,Palacio
20,"Calle Mayor, 21",Clothing Store,40.416237,-3.7066228,Adidas Store,Palacio
21,Calle Gran Vía,Clothing Store,40.420158353572056,-3.7056625642463814,ulanKa,Palacio
22,,Clothing Store,40.41378998854361,-3.7066092344454167,Almacenes Toledo,Palacio
23,,Clothing Store,40.41886428073398,-3.7050482733598504,Intimissimi,Palacio
24,"Gran Vía, 51",Clothing Store,40.421428090720106,-3.7078415193211174,Boutique Lacoste,Palacio
25,"Bordadores, 5",Clothing Store,40.416651,-3.707515,Mine Dog Gold Mine Bordadores,Palacio
26,C/ Arenal,Clothing Store,40.41726787293476,-3.7061186414897627,women'secret,Palacio
27,Victoria 2,Clothing Store,40.41750765388947,-3.7057526343293823,Maty,Palacio
28,"C. Arenal, 12",Clothing Store,40.41719533008894,-3.7057271616323137,Etam,Palacio
29,"C. Toledo, 30",Clothing Store,40.41311531038107,-3.7073476105821865,Lobo,Palacio
30,,Clothing Store,40.417672151930624,-3.7043644389022243,Punt Roma,Palacio
31,,Clothing Store,40.414534285325345,-3.707486367031204,Casa Hernanz,Palacio
32,,Clothing Store,40.416408,-3.707824,Shunkfunk,Palacio
33,Calle Toledo 30,Clothing Store,40.413320660591125,-3.7073761224746704,Calzados Lobo,Palacio
34,Ronda Del Saliente,Clothing Store,40.41671002501901,-3.7041910040952355,pontejos,Palacio
35,arenal 8,Clothing Store,40.41698642919903,-3.705355506340846,Hakei,Palacio
